#: table_doi: 10.17182/hepdata.68129.v1/t1
#: name: Table 1
#: description: Combined transverse momentum spectra of PI, K and P, sum of particles and antiparticles, measured at mid-rapidity in pp collisions at SQRT(S) = 7 TeV normalized to the number of inelastic collisions. Statistical and systematic uncertainties are reported. The uncertainty due to the normalization to inelastic collisions (+7-4 %) is not included.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X | P P --> K+ X | P P --> K- X | P P --> P X | P P --> PBAR X
#: keyword observables: D2N/DYRAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Strange Production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),,,< 0.5
#: RE,,,P P --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,7000.0
PT [GEV/C],PT [GEV/C] LOW,PT [GEV/C] HIGH,(1/Ninel)*D2(N)/DYRAP/DPT [GEV/C**-1],stat +,stat -,sys +,sys -
0.875,0.85,0.9,0.31637,0.00079,-0.00079,0.01868,-0.01868
0.925,0.9,0.95,0.28723,0.00072,-0.00072,0.01689,-0.01689
0.975,0.95,1.0,0.26001,0.00069,-0.00069,0.0153,-0.0153
1.05,1.0,1.1,0.22278,0.00047,-0.00047,0.01312,-0.01312
1.15,1.1,1.2,0.18244,0.00047,-0.00047,0.01084,-0.01084
1.25,1.2,1.3,0.15043,0.00048,-0.00048,0.00913,-0.00913
1.35,1.3,1.4,0.12426,0.00044,-0.00044,0.00756,-0.00756
1.45,1.4,1.5,0.10354,0.0004,-0.0004,0.00642,-0.00642
1.55,1.5,1.6,0.08478,0.00031,-0.00031,0.00484,-0.00484
1.65,1.6,1.7,0.07121,0.00029,-0.00029,0.00403,-0.00403
1.75,1.7,1.8,0.05989,0.00027,-0.00027,0.00346,-0.00346
1.85,1.8,1.9,0.05049,0.00026,-0.00026,0.00295,-0.00295
1.95,1.9,2.0,0.04289,0.00024,-0.00024,0.0025,-0.0025
2.05,2.0,2.1,0.03608,0.00023,-0.00023,0.00217,-0.00217
2.1500000000000004,2.1,2.2,0.03054,0.00021,-0.00021,0.00183,-0.00183
2.25,2.2,2.3,0.02654,0.00021,-0.00021,0.00164,-0.00164
2.3499999999999996,2.3,2.4,0.02231,0.00019,-0.00019,0.00138,-0.00138
2.45,2.4,2.5,0.01932,0.00022,-0.00022,0.00128,-0.00128
2.55,2.5,2.6,0.01664,0.0002,-0.0002,0.00109,-0.00109
2.6500000000000004,2.6,2.7,0.01426,0.00019,-0.00019,0.00095,-0.00095
2.75,2.7,2.8,0.01232,0.00018,-0.00018,0.00082,-0.00082
2.8499999999999996,2.8,2.9,0.01077,0.00017,-0.00017,0.00072,-0.00072
2.95,2.9,3.0,0.00917,0.00015,-0.00015,0.00061,-0.00061
3.1,3.0,3.2,0.00781,0.00016,-0.00016,0.00059,-0.00059
3.3,3.2,3.4,0.00611,0.00014,-0.00014,0.00046,-0.00046
3.5,3.4,3.6,0.00494,0.00014,-0.00014,0.00037,-0.00037
3.7,3.6,3.8,0.00383,0.00012,-0.00012,0.00029,-0.00029
3.9,3.8,4.0,0.00298,0.00011,-0.00011,0.00023,-0.00023
4.1,4.0,4.2,0.00237,0.0001,-0.0001,0.00018,-0.00018
4.300000000000001,4.2,4.4,0.00198,0.0001,-0.0001,0.00015,-0.00015
4.5,4.4,4.6,0.0015,9e-05,-9e-05,0.00011,-0.00011
4.699999999999999,4.6,4.8,0.00128,9e-05,-9e-05,0.0001,-0.0001
4.9,4.8,5.0,0.00094,7e-05,-7e-05,7e-05,-7e-05
5.25,5.0,5.5,0.00077,5e-05,-5e-05,6e-05,-6e-05
5.75,5.5,6.0,0.00054,4e-05,-4e-05,4e-05,-4e-05

#: ABS(YRAP),,,< 0.5
#: RE,,,P P --> (P + PBAR) X
#: SQRT(S) [GeV],,,7000.0
PT [GEV/C],PT [GEV/C] LOW,PT [GEV/C] HIGH,(1/Ninel)*D2(N)/DYRAP/DPT [GEV/C**-1],stat +,stat -,sys +,sys -
0.11,0.1,0.12,-,0,0,0,0
0.13,0.12,0.14,-,0,0,0,0
0.15000000000000002,0.14,0.16,-,0,0,0,0
0.16999999999999998,0.16,0.18,-,0,0,0,0
0.19,0.18,0.2,-,0,0,0,0
0.225,0.2,0.25,-,0,0,0,0
0.275,0.25,0.3,-,0,0,0,0
0.32499999999999996,0.3,0.35,0.19549,0.00091,-0.00091,0.01829,-0.01829
0.375,0.35,0.4,0.21035,0.00079,-0.00079,0.01813,-0.01813
0.42500000000000004,0.4,0.45,0.21865,0.0007,-0.0007,0.01804,-0.01804
0.475,0.45,0.5,0.22589,0.00074,-0.00074,0.01089,-0.01089
0.525,0.5,0.55,0.22439,0.00068,-0.00068,0.01039,-0.01039
0.575,0.55,0.6,0.21939,0.00063,-0.00063,0.00962,-0.00962
0.625,0.6,0.65,0.21279,0.00097,-0.00097,0.01425,-0.01425
0.675,0.65,0.7,0.20354,0.0009,-0.0009,0.01352,-0.01352
0.725,0.7,0.75,0.19431,0.00083,-0.00083,0.01264,-0.01264
0.775,0.75,0.8,0.18658,0.00082,-0.00082,0.01188,-0.01188
0.825,0.8,0.85,0.17499,0.00086,-0.00086,0.01087,-0.01087
0.875,0.85,0.9,0.16482,0.00084,-0.00084,0.01021,-0.01021
0.925,0.9,0.95,0.15406,0.00083,-0.00083,0.00948,-0.00948
0.975,0.95,1.0,0.14187,0.00079,-0.00079,0.00873,-0.00873
1.05,1.0,1.1,0.12676,0.0005,-0.0005,0.00784,-0.00784
1.15,1.1,1.2,0.10727,0.00049,-0.00049,0.00658,-0.00658
1.25,1.2,1.3,0.09121,0.00045,-0.00045,0.0056,-0.0056
1.35,1.3,1.4,0.07655,0.00042,-0.00042,0.00468,-0.00468
1.45,1.4,1.5,0.0649,0.00034,-0.00034,0.00406,-0.00406
1.55,1.5,1.6,0.05438,0.00032,-0.00032,0.00321,-0.00321
1.65,1.6,1.7,0.04557,0.00027,-0.00027,0.00271,-0.00271
1.75,1.7,1.8,0.03836,0.00024,-0.00024,0.00227,-0.00227
1.85,1.8,1.9,0.0319,0.00022,-0.00022,0.00189,-0.00189
1.95,1.9,2.0,0.02677,0.00019,-0.00019,0.0016,-0.0016
2.05,2.0,2.1,0.0226,0.0002,-0.0002,0.00142,-0.00142
2.1500000000000004,2.1,2.2,0.01861,0.00018,-0.00018,0.00113,-0.00113
2.25,2.2,2.3,0.01567,0.00016,-0.00016,0.00094,-0.00094
2.3499999999999996,2.3,2.4,0.01337,0.00015,-0.00015,0.00082,-0.00082
2.45,2.4,2.5,0.01103,0.00013,-0.00013,0.00071,-0.00071
2.55,2.5,2.6,0.00962,0.00012,-0.00012,0.00062,-0.00062
2.6500000000000004,2.6,2.7,0.00819,0.00011,-0.00011,0.00051,-0.00051
2.75,2.7,2.8,0.007,0.0001,-0.0001,0.00046,-0.00046
2.8499999999999996,2.8,2.9,0.0061,0.0001,-0.0001,0.00039,-0.00039
2.95,2.9,3.0,0.0052,9e-05,-9e-05,0.00034,-0.00034
3.1,3.0,3.2,0.00414,6e-05,-6e-05,0.00028,-0.00028
3.3,3.2,3.4,0.00298,6e-05,-6e-05,0.00021,-0.00021
3.5,3.4,3.6,0.0022,5e-05,-5e-05,0.00017,-0.00017
3.7,3.6,3.8,0.00165,5e-05,-5e-05,0.00014,-0.00014
3.9,3.8,4.0,0.00118,4e-05,-4e-05,0.00012,-0.00012
4.1,4.0,4.2,0.00092,5e-05,-5e-05,0.0001,-0.0001
4.300000000000001,4.2,4.4,0.00068,4e-05,-4e-05,7e-05,-7e-05
4.5,4.4,4.6,0.00055,4e-05,-4e-05,6e-05,-6e-05
4.699999999999999,4.6,4.8,0.00041,3e-05,-3e-05,5e-05,-5e-05
4.9,4.8,5.0,0.00033,3e-05,-3e-05,4e-05,-4e-05
5.25,5.0,5.5,0.00021,2e-05,-2e-05,2e-05,-2e-05
5.75,5.5,6.0,0.00013,2e-05,-2e-05,2e-05,-2e-05

