ALICE_2760a_PI0	2	8.30e-01	9.92e-01        		      0.41	      0.50		    119.51
ALICE_2760b_PI0	13	2.11e+01	1.10e+01        		      1.62	      0.84		     52.00
ALICE_7000_PI0	8	1.66e+01	1.24e+01        		      2.07	      1.55		     74.91
ALICE_8000_PI0	18	1.04e+01	1.37e+01        		      0.58	      0.76		    131.55
PHENIX_200b_PIsum	4	4.19e+00	7.47e+00        		      1.05	      1.87		    178.12
PHENIX_200_PI0	5	1.47e+00	1.19e+00        		      0.29	      0.24		     81.35
PHENIX_510_PI0	16	8.59e+00	4.62e+00        		      0.54	      0.29		     53.73
STAR_200a_PI0	5	4.33e+00	3.52e+00        		      0.87	      0.70		     81.24
STAR_200b_PI0	5	9.66e+00	1.13e+01        		      1.93	      2.25		    116.71
