ALICE_2760a_PI0	3	3.19e+00	5.07e+00        		      1.06	      1.69		    158.78
ALICE_2760b_PI0	14	2.12e+01	1.19e+01        		      1.51	      0.85		     56.12
ALICE_7000_PI0	9	1.76e+01	1.38e+01        		      1.96	      1.54		     78.59
ALICE_8000_PI0	20	1.76e+01	2.10e+01        		      0.88	      1.05		    119.37
PHENIX_200b_PIsum	5	4.25e+00	7.20e+00        		      0.85	      1.44		    169.32
PHENIX_200_PI0	7	2.26e+00	2.66e+00        		      0.32	      0.38		    117.35
PHENIX_510_PI0	18	9.87e+00	5.90e+00        		      0.55	      0.33		     59.74
STAR_200a_PI0	6	6.09e+00	4.28e+00        		      1.01	      0.71		     70.24
STAR_200b_PI0	6	9.66e+00	1.14e+01        		      1.61	      1.89		    117.48
