#: table_doi: 10.17182/hepdata.62520.v1/t1
#: name: Table 1
#: description: Invariant yields of identified pions in central and peripheral Pb-Pb collisions, together with the unscaled pp reference yields.

#: data_file: Table1.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X | P P --> PI+ X | P P --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: CENTRALITY,,,0 TO 5 pct
#: ETARAP,,,-0.8-0.8
#: RE,,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -
0.13,0.12,0.14,123.9,0.51,-0.51,10.91,-10.91
0.15000000000000002,0.14,0.16,108.3,0.3975,-0.3975,9.475,-9.475
0.16999999999999998,0.16,0.18,96.25,0.3322,-0.3322,8.401,-8.401
0.19,0.18,0.2,85.65,0.2848,-0.2848,7.481,-7.481
0.225,0.2,0.25,67.45,0.1888,-0.1888,4.166,-4.166
0.275,0.25,0.3,49.85,0.1427,-0.1427,3.05,-3.05
0.32499999999999996,0.3,0.35,37.4,0.1079,-0.1079,2.403,-2.403
0.375,0.35,0.4,28.29,0.08894,-0.08894,1.714,-1.714
0.42500000000000004,0.4,0.45,21.81,0.07418,-0.07418,1.295,-1.295
0.475,0.45,0.5,16.82,0.06168,-0.06168,1.002,-1.002
0.525,0.5,0.55,13.05,0.04227,-0.04227,0.5891,-0.5891
0.575,0.55,0.6,10.34,0.03628,-0.03628,0.4642,-0.4642
0.625,0.6,0.65,8.324,0.0384,-0.0384,0.4156,-0.4156
0.675,0.65,0.7,6.731,0.03329,-0.03329,0.3362,-0.3362
0.725,0.7,0.75,5.473,0.02912,-0.02912,0.2731,-0.2731
0.775,0.75,0.8,4.413,0.02543,-0.02543,0.2198,-0.2198
0.825,0.8,0.85,3.668,0.02317,-0.02317,0.186,-0.186
0.875,0.85,0.9,3.018,0.02031,-0.02031,0.1474,-0.1474
0.925,0.9,0.95,2.505,0.01854,-0.01854,0.1261,-0.1261
0.975,0.95,1.0,2.09,0.01667,-0.01667,0.1034,-0.1034
1.05,1.0,1.1,1.585,0.009946,-0.009946,0.07842,-0.07842
1.15,1.1,1.2,1.128,0.008118,-0.008118,0.05501,-0.05501
1.25,1.2,1.3,0.8086,0.003622,-0.003622,0.04897,-0.04897
1.35,1.3,1.4,0.5905,0.003004,-0.003004,0.03593,-0.03593
1.45,1.4,1.5,0.4285,0.002389,-0.002389,0.02629,-0.02629
1.55,1.5,1.6,0.3172,0.002023,-0.002023,0.01968,-0.01968
1.65,1.6,1.7,0.239,0.001746,-0.001746,0.01505,-0.01505
1.75,1.7,1.8,0.1755,0.001342,-0.001342,0.01126,-0.01126
1.85,1.8,1.9,0.1365,0.001205,-0.001205,0.008951,-0.008951
1.95,1.9,2.0,0.1046,0.001089,-0.001089,0.007027,-0.007027
2.05,2.0,2.1,0.07917,0.000872,-0.000872,0.005471,-0.005471
2.1500000000000004,2.1,2.2,0.06271,0.0007995,-0.0007995,0.004468,-0.004468
2.25,2.2,2.3,0.04837,0.0006248,-0.0006248,0.003564,-0.003564
2.3499999999999996,2.3,2.4,0.03865,0.0005324,-0.0005324,0.002952,-0.002952
2.45,2.4,2.5,0.03059,0.0005616,-0.0005616,0.002428,-0.002428
2.55,2.5,2.6,0.02454,0.000484,-0.000484,0.002029,-0.002029
2.6500000000000004,2.6,2.7,0.01979,0.0004562,-0.0004562,0.001706,-0.001706
2.75,2.7,2.8,0.01565,0.000335,-0.000335,0.00141,-0.00141
2.8499999999999996,2.8,2.9,0.01256,0.0002667,-0.0002667,0.001184,-0.001184
2.95,2.9,3.0,0.01083,0.0002842,-0.0002842,0.001069,-0.001069
3.1,3.0,3.2,0.007594,5.844e-05,-5.844e-05,0.0007962,-0.0007962
3.3,3.2,3.4,0.005238,4.301e-05,-4.301e-05,0.0005484,-0.0005484
3.5,3.4,3.6,0.003701,3.227e-05,-3.227e-05,0.0003866,-0.0003866
3.7,3.6,3.8,0.002654,2.496e-05,-2.496e-05,0.0002767,-0.0002767
3.9,3.8,4.0,0.001932,1.914e-05,-1.914e-05,0.0002011,-0.0002011
4.25,4.0,4.5,0.001133,1.137e-05,-1.137e-05,0.0001179,-0.0001179
4.75,4.5,5.0,0.0005682,6.704e-06,-6.704e-06,5.918e-05,-5.918e-05
5.25,5.0,5.5,0.0003012,4.232e-06,-4.232e-06,3.137e-05,-3.137e-05
5.75,5.5,6.0,0.0001729,2.865e-06,-2.865e-06,1.802e-05,-1.802e-05
6.25,6.0,6.5,0.0001024,1.997e-06,-1.997e-06,1.07e-05,-1.07e-05
6.75,6.5,7.0,6.456e-05,1.517e-06,-1.517e-06,6.78e-06,-6.78e-06
7.5,7.0,8.0,3.346e-05,7.848e-07,-7.848e-07,3.526e-06,-3.526e-06
8.5,8.0,9.0,1.545e-05,4.747e-07,-4.747e-07,1.628e-06,-1.628e-06
9.5,9.0,10.0,7.38e-06,2.924e-07,-2.924e-07,7.797e-07,-7.797e-07
10.5,10.0,11.0,3.954e-06,2.018e-07,-2.018e-07,4.193e-07,-4.193e-07
11.5,11.0,12.0,2.276e-06,1.48e-07,-1.48e-07,2.409e-07,-2.409e-07
12.5,12.0,13.0,1.511e-06,1.182e-07,-1.182e-07,1.601e-07,-1.601e-07
13.5,13.0,14.0,9.291e-07,8.83e-08,-8.83e-08,9.92e-08,-9.92e-08
14.5,14.0,15.0,5.714e-07,6.44e-08,-6.44e-08,6.14e-08,-6.14e-08
15.5,15.0,16.0,3.374e-07,4.72e-08,-4.72e-08,3.64e-08,-3.64e-08
17.0,16.0,18.0,2.163e-07,2.83e-08,-2.83e-08,2.33e-08,-2.33e-08
19.0,18.0,20.0,1.01e-07,1.76e-08,-1.76e-08,1.09e-08,-1.09e-08

#: CENTRALITY,,,-
#: ETARAP,,,-0.8-0.8
#: RE,,,P P --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -
0.11,0.1,0.12,9.736,0.01369,-0.01369,0.7079,-0.7079
0.13,0.12,0.14,8.75,0.009617,-0.009617,0.4025,-0.4025
0.15000000000000002,0.14,0.16,7.877,0.008274,-0.008274,0.3472,-0.3472
0.16999999999999998,0.16,0.18,7.067,0.007283,-0.007283,0.3136,-0.3136
0.19,0.18,0.2,6.286,0.006399,-0.006399,0.2837,-0.2837
0.225,0.2,0.25,5.058,0.003282,-0.003282,0.2212,-0.2212
0.275,0.25,0.3,3.717,0.002515,-0.002515,0.1618,-0.1618
0.32499999999999996,0.3,0.35,2.742,0.001848,-0.001848,0.08406,-0.08406
0.375,0.35,0.4,2.046,0.001447,-0.001447,0.06168,-0.06168
0.42500000000000004,0.4,0.45,1.542,0.001156,-0.001156,0.04556,-0.04556
0.475,0.45,0.5,1.17,0.0009362,-0.0009362,0.0348,-0.0348
0.525,0.5,0.55,0.9008,0.0008851,-0.0008851,0.02684,-0.02684
0.575,0.55,0.6,0.6978,0.0007411,-0.0007411,0.02158,-0.02158
0.625,0.6,0.65,0.5521,0.001218,-0.001218,0.02684,-0.02684
0.675,0.65,0.7,0.4333,0.001042,-0.001042,0.02107,-0.02107
0.725,0.7,0.75,0.3432,0.000895,-0.000895,0.01672,-0.01672
0.775,0.75,0.8,0.2754,0.0007778,-0.0007778,0.01343,-0.01343
0.825,0.8,0.85,0.2227,0.0006886,-0.0006886,0.01086,-0.01086
0.875,0.85,0.9,0.1812,0.0006104,-0.0006104,0.008829,-0.008829
0.925,0.9,0.95,0.148,0.0005382,-0.0005382,0.007218,-0.007218
0.975,0.95,1.0,0.1208,0.0004759,-0.0004759,0.005884,-0.005884
1.05,1.0,1.1,0.091,0.0002791,-0.0002791,0.004442,-0.004442
1.15,1.1,1.2,0.06303,0.0002221,-0.0002221,0.003076,-0.003076
1.25,1.2,1.3,0.04467,0.0001818,-0.0001818,0.002194,-0.002194
1.35,1.3,1.4,0.03213,0.000148,-0.000148,0.001588,-0.001588
1.45,1.4,1.5,0.02356,0.0001226,-0.0001226,0.001175,-0.001175
1.55,1.5,1.6,0.0173,7.957e-05,-7.957e-05,0.0008289,-0.0008289
1.65,1.6,1.7,0.01307,6.79e-05,-6.79e-05,0.0006421,-0.0006421
1.75,1.7,1.8,0.009949,5.781e-05,-5.781e-05,0.0005022,-0.0005022
1.85,1.8,1.9,0.007627,4.762e-05,-4.762e-05,0.0003927,-0.0003927
1.95,1.9,2.0,0.005867,3.873e-05,-3.873e-05,0.0003049,-0.0003049
2.05,2.0,2.1,0.004552,3.256e-05,-3.256e-05,0.0002421,-0.0002421
2.1500000000000004,2.1,2.2,0.003573,2.81e-05,-2.81e-05,0.0001908,-0.0001908
2.25,2.2,2.3,0.002839,2.454e-05,-2.454e-05,0.0001591,-0.0001591
2.3499999999999996,2.3,2.4,0.00227,2.129e-05,-2.129e-05,0.0001303,-0.0001303
2.45,2.4,2.5,0.001829,1.87e-05,-1.87e-05,0.0001062,-0.0001062
2.55,2.5,2.6,0.00141,2.281e-05,-2.281e-05,0.0001044,-0.0001044
2.6500000000000004,2.6,2.7,0.001162,2.025e-05,-2.025e-05,8.413e-05,-8.413e-05
2.75,2.7,2.8,0.0009197,1.773e-05,-1.773e-05,6.702e-05,-6.702e-05
2.8499999999999996,2.8,2.9,0.0007861,1.611e-05,-1.611e-05,5.613e-05,-5.613e-05
2.95,2.9,3.0,0.0006545,1.407e-05,-1.407e-05,5.32e-05,-5.32e-05
3.1,3.0,3.2,0.000476,5.635e-06,-5.635e-06,2.94e-05,-2.94e-05
3.3,3.2,3.4,0.0003268,5.143e-06,-5.143e-06,1.926e-05,-1.926e-05
3.5,3.4,3.6,0.0002319,3.616e-06,-3.616e-06,1.441e-05,-1.441e-05
3.7,3.6,3.8,0.000166,2.646e-06,-2.646e-06,1.067e-05,-1.067e-05
3.9,3.8,4.0,0.0001238,1.974e-06,-1.974e-06,8.155e-06,-8.155e-06
4.25,4.0,4.5,7.253e-05,5.32e-07,-5.32e-07,5.927e-06,-5.927e-06
4.75,4.5,5.0,3.645e-05,3.212e-07,-3.212e-07,2.977e-06,-2.977e-06
5.25,5.0,5.5,1.98e-05,1.876e-07,-1.876e-07,1.623e-06,-1.623e-06
5.75,5.5,6.0,1.125e-05,1.252e-07,-1.252e-07,9.24e-07,-9.24e-07
6.25,6.0,6.5,6.619e-06,8.72e-08,-8.72e-08,5.485e-07,-5.485e-07
6.75,6.5,7.0,4.045e-06,6.45e-08,-6.45e-08,3.373e-07,-3.373e-07
7.5,7.0,8.0,2.172e-06,3.45e-08,-3.45e-08,1.815e-07,-1.815e-07
8.5,8.0,9.0,9.918e-07,2.17e-08,-2.17e-08,8.28e-08,-8.28e-08
9.5,9.0,10.0,4.769e-07,1.38e-08,-1.38e-08,4e-08,-4e-08
10.5,10.0,11.0,2.465e-07,9.2e-09,-9.2e-09,2.08e-08,-2.08e-08
11.5,11.0,12.0,1.366e-07,6.5e-09,-6.5e-09,1.17e-08,-1.17e-08
12.5,12.0,13.0,8.07e-08,4.7e-09,-4.7e-09,7e-09,-7e-09
13.5,13.0,14.0,4.86e-08,3.5e-09,-3.5e-09,4.3e-09,-4.3e-09
14.5,14.0,15.0,3.05e-08,2.7e-09,-2.7e-09,2.8e-09,-2.8e-09
15.5,15.0,16.0,1.96e-08,2.1e-09,-2.1e-09,1.8e-09,-1.8e-09
17.0,16.0,18.0,1.18e-08,1.2e-09,-1.2e-09,1.2e-09,-1.2e-09
19.0,18.0,20.0,5.2e-09,7e-10,-7e-10,5e-10,-5e-10

