0.4	2.19356e-31
0.41	4.62693e-29
0.42	6.20486e-27
0.43	5.52545e-25
0.44	3.39594e-23
0.45	1.49079e-21
0.46	4.81983e-20
0.47	1.1795e-18
0.48	2.23915e-17
0.49	3.37113e-16
0.5	4.10599e-15
0.51	4.11926e-14
0.52	3.45975e-13
0.53	2.46888e-12
0.54	1.51706e-11
0.55	8.12517e-11
0.56	3.83527e-10
0.57	1.61161e-09
0.58	6.08416e-09
0.59	2.08078e-08
0.6	6.49566e-08
0.61	1.8637e-07
0.62	4.94537e-07
0.63	1.22057e-06
0.64	2.81656e-06
0.65	6.10554e-06
0.66	1.24871e-05
0.67	2.41912e-05
0.68	4.4556e-05
0.69	7.8285e-05
0.7	0.000131626
0.71	0.000212403
0.72	0.000329857
0.73	0.000494242
0.74	0.000716209
0.75	0.00100599
0.76	0.00137249
0.77	0.00182236
0.78	0.00235917
0.79	0.00298282
0.8	0.00368913
0.81	0.00446983
0.82	0.0053128
0.83	0.00620257
0.84	0.00712109
0.85	0.00804859
0.86	0.00896457
0.87	0.00984871
0.88	0.0106818
0.89	0.0114463
0.9	0.0121275
0.91	0.0127132
0.92	0.0131946
0.93	0.0135661
0.94	0.0138254
0.95	0.0139732
0.96	0.0140131
0.97	0.0139512
0.98	0.0137955
0.99	0.013556
1	0.0132436
1.01	0.0128703
1.02	0.0124483
1.03	0.0119899
1.04	0.011507
1.05	0.0110108
1.06	0.0105117
1.07	0.0100191
1.08	0.00954079
1.09	0.00908364
1.1	0.00865302
1.11	0.00825302
1.12	0.00788649
1.13	0.00755514
1.14	0.00725965
1.15	0.00699983
1.16	0.00677471
1.17	0.00658276
1.18	0.00642195
1.19	0.00628996
1.2	0.00618422
1.21	0.0061021
1.22	0.00604093
1.23	0.00599812
1.24	0.00597118
1.25	0.0059578
1.26	0.00595585
1.27	0.00596341
1.28	0.00597879
1.29	0.00600048
1.3	0.00602718
1.31	0.00605777
1.32	0.00609126
1.33	0.00612682
1.34	0.00616371
1.35	0.0062013
1.36	0.00623899
1.37	0.00627625
1.38	0.00631256
1.39	0.00634744
1.4	0.00638041
1.41	0.00641098
1.42	0.0064387
1.43	0.00646309
1.44	0.0064837
1.45	0.0065001
1.46	0.00651186
1.47	0.00651859
1.48	0.00651995
1.49	0.00651561
1.5	0.00650532
1.51	0.00648887
